Temp_min Temp Temp_max TCP TCP_kill
3.982439292855800517e+01 4.078448118263899858e+01 4.131236520453788330e+01 8.617969707589715478e-01 9.280308622642245986e-01
3.964091822607527860e+01 4.145061221431075893e+01 4.229435549013378193e+01 9.000693307837929202e-01 9.722980412986275134e-01
3.999998670674560231e+01 4.105125575709433150e+01 4.281126763658364354e+01 8.799648438044904708e-01 9.587899255270901921e-01
3.917822552980172901e+01 4.150446502324436437e+01 4.298622797015782027e+01 9.052636656842615315e-01 9.812623864888033731e-01
4.013447287162686195e+01 4.079702020201909818e+01 4.169985938853982077e+01 8.624474489585135517e-01 9.292299799295370422e-01
3.953191257884885346e+01 4.124852376418314748e+01 4.207135125577596568e+01 8.895880053753584260e-01 9.617432828433984948e-01
3.917704253145848270e+01 4.160938886282743709e+01 4.292965299604476570e+01 9.105148575912226372e-01 9.852791823324581477e-01
3.901622057663362853e+01 4.038189050463244456e+01 4.276400908558333924e+01 8.439579122654468080e-01 9.331622763302235279e-01
4.025745521982580044e+01 4.112768783516847293e+01 4.259278497815675024e+01 8.828664498260867521e-01 9.574836340488636077e-01
3.925997670450740173e+01 4.092963925711480044e+01 4.237627159064761173e+01 8.734205239021525236e-01 9.494823115928744395e-01
3.914769947623451429e+01 3.983051296384691398e+01 4.065148083085936292e+01 7.978113789169852810e-01 8.506250965429743571e-01
4.098641399446619005e+01 4.150596103745806431e+01 4.227193145771853011e+01 9.001609716708028897e-01 9.677273744213555906e-01
3.959875253988560928e+01 4.094622417035621709e+01 4.242050296309439972e+01 8.737166099990618662e-01 9.493050391903922192e-01
3.938642333273740803e+01 4.058633878326525490e+01 4.210205080429130930e+01 8.539010088779275254e-01 9.305393688563474708e-01
3.966545498317299234e+01 4.135473892459297929e+01 4.279077569689395943e+01 8.965357967806099060e-01 9.731783042465025346e-01
3.998192750456301781e+01 4.055151887082880080e+01 4.146901108389666746e+01 8.474856903697766120e-01 9.119758230152807954e-01
3.947793001732311069e+01 3.991861558031217072e+01 4.082293943472415521e+01 8.041968348453365500e-01 8.586557426358730760e-01
4.092053356089738969e+01 4.172742528517746763e+01 4.228422269744599049e+01 9.104565020325953162e-01 9.765215724178074597e-01
3.902003429963739478e+01 4.049986358091423710e+01 4.185029280315855260e+01 8.468982488632208483e-01 9.177271460996276886e-01
3.931970012968085371e+01 4.017906141881726256e+01 4.079222370400406561e+01 8.226273863963035060e-01 8.805848945102741077e-01
4.056234776737153425e+01 4.151633467128938548e+01 4.247818218158960946e+01 9.012982904575177479e-01 9.704244914936317468e-01
3.996563296724321646e+01 4.119740560265540097e+01 4.264213527058638675e+01 8.867466909082303284e-01 9.612993999839779535e-01
3.925109449524608607e+01 4.061570587186866987e+01 4.140841947495579944e+01 8.526900425547913054e-01 9.197670011787769662e-01
4.060451952027560907e+01 4.094516733597296110e+01 4.133974019733758354e+01 8.701976193493802247e-01 9.351706083087237831e-01
3.966318576212883329e+01 4.106571721533767771e+01 4.287471279424377002e+01 8.812207508309188864e-01 9.609087057833843870e-01
3.901132170672948263e+01 3.998874040100424310e+01 4.114167380526485118e+01 8.119585269197977517e-01 8.739195252833933392e-01
3.920229176728838638e+01 3.970615109014007515e+01 4.081631332139527757e+01 7.891616320566543497e-01 8.419122818089904703e-01
4.074604325814847527e+01 4.137289451491433567e+01 4.297075226305501872e+01 8.955488140214021842e-01 9.704072878947481717e-01
4.078834987709609550e+01 4.157235639031026153e+01 4.259176614250927173e+01 9.040763606948981623e-01 9.733573691114602022e-01
4.069324241067096182e+01 4.168025066576655036e+01 4.263816239009467779e+01 9.088836028642365283e-01 9.767780885998768037e-01
3.961450936614397733e+01 4.069710174419866178e+01 4.174807978259260466e+01 8.584508491422198073e-01 9.296149465259626599e-01
4.091577181294270815e+01 4.153949493269115578e+01 4.231769277538148089e+01 9.017726908930245866e-01 9.692114412884043073e-01
4.074142673168226025e+01 4.206414696954497856e+01 4.284942338753582902e+01 9.253426202717573990e-01 9.884391826607379361e-01
3.918494354478257691e+01 4.156625840459931709e+01 4.265239457936945655e+01 9.076377180910135678e-01 9.812521963749167853e-01
4.014194292314748225e+01 4.199602255276313656e+01 4.292527743627768189e+01 9.240860198187257346e-01 9.896637047035186097e-01
3.956509412410808579e+01 4.132598728705816171e+01 4.267831870278268269e+01 8.943256100017585863e-01 9.690311716339634618e-01
3.931898270820002494e+01 3.981624400009677345e+01 4.039947474546862338e+01 7.960241265799303800e-01 8.467763873194951163e-01
3.938400371922185172e+01 4.119093558893619900e+01 4.299879215087008077e+01 8.915843132870142629e-01 9.758547345248310689e-01
4.085503989050306473e+01 4.142515382293161963e+01 4.197480978820955499e+01 8.961206328574902180e-01 9.634679130371583966e-01
4.006355931155474792e+01 4.090896981952416667e+01 4.165629329512848500e+01 8.690422049861816767e-01 9.364477735008616133e-01
3.983837504458064416e+01 4.082831496246396341e+01 4.150906705208911518e+01 8.649287028049937875e-01 9.332504798284892988e-01
4.143909196282813667e+01 4.200830250831068469e+01 4.249971504157312552e+01 9.222288110746247325e-01 9.850458980988626712e-01
3.922099919164194404e+01 3.963796284602050690e+01 4.069407235971448955e+01 7.837645249262921165e-01 8.346751628538136014e-01
4.001879234195417467e+01 4.109981289302899654e+01 4.203759801964819331e+01 8.804353920515363141e-01 9.508146295464200426e-01
4.012993840773943077e+01 4.099159024036012511e+01 4.178027624768022719e+01 8.736868024352938411e-01 9.414866075440527782e-01
4.005448825372931765e+01 4.077334001414550357e+01 4.190618557563605151e+01 8.616510374771183534e-01 9.304717391160282070e-01
4.078706231276024852e+01 4.088628157548907183e+01 4.093038612323969261e+01 8.664684645758982118e-01 9.299607863979926226e-01
4.062102752658359606e+01 4.161584024533463122e+01 4.220438789493068299e+01 9.056032288251653073e-01 9.728195447215661762e-01
4.188262240780111512e+01 4.247127082013648192e+01 4.296939764665795281e+01 9.391921589148406468e-01 9.940668356301881614e-01
3.906527127599038351e+01 4.076554996689431221e+01 4.238914611141530031e+01 8.687477720070648779e-01 9.552843792856919869e-01
4.028838888030853127e+01 4.100051135939243352e+01 4.196176848997281894e+01 8.748330979668943463e-01 9.448068412087823331e-01
3.938181291687806151e+01 3.973267122887386193e+01 4.012928818481388049e+01 7.893897471192511395e-01 8.378063832734500282e-01
3.987950535327282608e+01 4.169109751667357955e+01 4.274294299046155743e+01 9.111538789452675591e-01 9.811938979353845847e-01
3.976690890102176468e+01 4.115407808043048021e+01 4.280457488959000756e+01 8.854583393798365343e-01 9.629692321930146681e-01
3.906419245578285881e+01 4.106182822681824263e+01 4.289944370998600931e+01 8.855053189368728983e-01 9.717074450863634194e-01
4.109127726950161019e+01 4.175485804360755537e+01 4.239193629884827175e+01 9.117845232540047196e-01 9.779880548108631499e-01
3.919061612062555611e+01 4.109314032744055112e+01 4.281898539768454981e+01 8.848737884077342297e-01 9.667907986900332595e-01
3.920055219639989019e+01 4.116733641114791453e+01 4.243894541070378068e+01 8.868267677443011365e-01 9.625302651328645487e-01
3.963094282500192378e+01 4.032735294739192966e+01 4.140463535899990433e+01 8.337477838954044929e-01 8.976086765373750831e-01
3.912455492385958422e+01 4.150151493416662873e+01 4.299935186398855791e+01 9.053402890664389302e-01 9.815613477125403330e-01
4.039742267394682784e+01 4.117887091539515865e+01 4.268392931034260585e+01 8.855005937704564234e-01 9.602215418294346438e-01
3.958203589689655644e+01 4.093665871999623818e+01 4.246225361361337036e+01 8.734528852736771487e-01 9.498723961473600763e-01
4.143941975985812576e+01 4.202492931461712544e+01 4.294410361660029452e+01 9.230798364941433798e-01 9.862448102282500573e-01
3.970037160378055319e+01 4.116491380004553946e+01 4.229667506884275241e+01 8.863622701039247653e-01 9.628852188459312567e-01
3.977734503439165081e+01 4.064440552621514513e+01 4.123510636427447906e+01 8.530225476058441725e-01 9.171431609505201754e-01
3.961023548368643787e+01 4.090610682019356403e+01 4.272881248176572200e+01 8.736370686810691621e-01 9.555140656182792291e-01
4.044076346037140013e+01 4.169845912455282644e+01 4.289863061635236363e+01 9.107137421144322342e-01 9.805712519023600526e-01
3.919959248916521943e+01 3.978882553195581551e+01 4.050446495295334159e+01 7.949835663701568800e-01 8.475140915770061900e-01
3.919816817581647683e+01 4.081230213841437404e+01 4.279932296941634462e+01 8.697330824073629119e-01 9.548989654365972468e-01
3.917107738243961990e+01 4.053619303840938670e+01 4.278953939230175507e+01 8.528563840848637501e-01 9.400298976340132340e-01
3.977972392713027006e+01 4.056709742614906133e+01 4.139223852048598218e+01 8.484306981970471950e-01 9.126978292753958888e-01
3.965123755241565817e+01 4.078900927217024019e+01 4.200938328991244219e+01 8.633524677341631870e-01 9.341445670904808818e-01
3.969242494801766696e+01 4.170873645972560695e+01 4.251860699582690728e+01 9.124378520813246629e-01 9.824903039786522241e-01
