Temp TCP TCP_5 TCP_50
4.078448118263899858e+01 9.280308622642245986e-01 8.936541556515068541e-01 9.993560165000550111e-01
4.145061221431075893e+01 9.722980412986275134e-01 9.882360973821456840e-01 9.999998160306606820e-01
4.105125575709433150e+01 9.587899255270901921e-01 9.238086492433168484e-01 1.047349156312306152e-64
4.150446502324436437e+01 9.812623864888033731e-01 9.698970606624228719e-01 9.999999989673165057e-01
4.079702020201909818e+01 9.292299799295370422e-01 9.064086857447646306e-01 9.599862159204385348e-01
4.124852376418314748e+01 9.617432828433984948e-01 9.225314203869861007e-01 9.999999924870059953e-01
4.160938886282743709e+01 9.852791823324581477e-01 9.930108671716229019e-01 0.000000000000000000e+00
4.038189050463244456e+01 9.331622763302235279e-01 9.891703098975589414e-01 8.177302888318694896e-01
4.112768783516847293e+01 9.574836340488636077e-01 9.949746444494741437e-01 9.999999997626389803e-01
4.092963925711480044e+01 9.494823115928744395e-01 9.908686231710449599e-01 1.947228429216115234e-02
3.983051296384691398e+01 8.506250965429743571e-01 9.102329844232872613e-01 6.848020362904040370e-01
4.150596103745806431e+01 9.677273744213555906e-01 9.919758252402900434e-01 9.895056006615808863e-01
4.094622417035621709e+01 9.493050391903922192e-01 9.479322186228968938e-01 9.999996647432568553e-01
4.058633878326525490e+01 9.305393688563474708e-01 8.566266510885951480e-01 3.144405556419257754e-06
4.135473892459297929e+01 9.731783042465025346e-01 8.597071916698050265e-01 9.181328832476645108e-01
4.055151887082880080e+01 9.119758230152807954e-01 9.525531425823230425e-01 1.780230075076663361e-04
3.991861558031217072e+01 8.586557426358730760e-01 8.803502706710444325e-01 9.999972764341230613e-01
4.172742528517746763e+01 9.765215724178074597e-01 9.596355767120995361e-01 9.985220159310440602e-01
4.049986358091423710e+01 9.177271460996276886e-01 3.179405663248773828e-01 0.000000000000000000e+00
4.017906141881726256e+01 8.805848945102741077e-01 9.906290859736860410e-01 9.449579097670635086e-01
4.151633467128938548e+01 9.704244914936317468e-01 9.876791426917975736e-01 9.999999892274756830e-01
4.119740560265540097e+01 9.612993999839779535e-01 9.713225872920201454e-01 4.579898471005513088e-66
4.061570587186866987e+01 9.197670011787769662e-01 8.918890962999171945e-01 9.992993541703358851e-01
4.094516733597296110e+01 9.351706083087237831e-01 8.196459922842872503e-01 3.241687683205937058e-251
4.106571721533767771e+01 9.609087057833843870e-01 9.326864390780481573e-01 9.999347734022399070e-01
3.998874040100424310e+01 8.739195252833933392e-01 2.427255564445460478e-01 9.999796709784176674e-01
3.970615109014007515e+01 8.419122818089904703e-01 7.350098818703253434e-01 9.999988562252594138e-01
4.137289451491433567e+01 9.704072878947481717e-01 9.606201843968329435e-01 9.174645789581394872e-01
4.157235639031026153e+01 9.733573691114602022e-01 9.778026119739958721e-01 9.999999125106280307e-01
4.168025066576655036e+01 9.767780885998768037e-01 9.106677353595834523e-01 9.999364993397393819e-01
4.069710174419866178e+01 9.296149465259626599e-01 9.860856164099340848e-01 9.999995559055931960e-01
4.153949493269115578e+01 9.692114412884043073e-01 9.601648945273822955e-01 9.999999999980948573e-01
4.206414696954497856e+01 9.884391826607379361e-01 9.536222221701655677e-01 9.999999993682450183e-01
4.156625840459931709e+01 9.812521963749167853e-01 9.814424324018262702e-01 5.609648088037126890e-01
4.199602255276313656e+01 9.896637047035186097e-01 9.765232890099191376e-01 9.996373736836430268e-01
4.132598728705816171e+01 9.690311716339634618e-01 9.361321145157676105e-01 8.304534378806258665e-01
3.981624400009677345e+01 8.467763873194951163e-01 8.698052049046103296e-01 0.000000000000000000e+00
4.119093558893619900e+01 9.758547345248310689e-01 3.976437505265158490e-01 9.793821036489372966e-01
4.142515382293161963e+01 9.634679130371583966e-01 9.889806295059224706e-01 9.818266162364182037e-01
4.090896981952416667e+01 9.364477735008616133e-01 9.576692573123827268e-01 7.336867361756076156e-13
4.082831496246396341e+01 9.332504798284892988e-01 6.497515596093722534e-01 9.999988542309699024e-01
4.200830250831068469e+01 9.850458980988626712e-01 9.938491054326080709e-01 7.810417981422873579e-01
3.963796284602050690e+01 8.346751628538136014e-01 9.944528438831676809e-01 9.993850231077876511e-01
4.109981289302899654e+01 9.508146295464200426e-01 9.548531037668096522e-01 0.000000000000000000e+00
4.099159024036012511e+01 9.414866075440527782e-01 9.816966355324283633e-01 9.998220654104977845e-01
4.077334001414550357e+01 9.304717391160282070e-01 9.815292378810164253e-01 9.895450621877579511e-01
4.088628157548907183e+01 9.299607863979926226e-01 8.451701831381320806e-01 9.993506172925354925e-01
4.161584024533463122e+01 9.728195447215661762e-01 9.113221060892384706e-01 9.788799267729459963e-01
4.247127082013648192e+01 9.940668356301881614e-01 9.956314760633560024e-01 9.999932612062120141e-01
4.076554996689431221e+01 9.552843792856919869e-01 5.142410446880426589e-01 9.806211325663043432e-01
4.100051135939243352e+01 9.448068412087823331e-01 8.641448578046461160e-01 9.999999997263199214e-01
3.973267122887386193e+01 8.378063832734500282e-01 9.808286393591720831e-01 2.678527558155738159e-91
4.169109751667357955e+01 9.811938979353845847e-01 9.233439139140665608e-01 0.000000000000000000e+00
4.115407808043048021e+01 9.629692321930146681e-01 9.598013445328519300e-01 9.997371474552239068e-01
4.106182822681824263e+01 9.717074450863634194e-01 8.445574713998729166e-01 2.182065899554418979e-10
4.175485804360755537e+01 9.779880548108631499e-01 9.476271435836657320e-01 0.000000000000000000e+00
4.109314032744055112e+01 9.667907986900332595e-01 7.541446779630460728e-01 9.999996387163150313e-01
4.116733641114791453e+01 9.625302651328645487e-01 9.463643190516636272e-01 1.905083908341577819e-05
4.032735294739192966e+01 8.976086765373750831e-01 9.820796364228147057e-01 9.999989523643945111e-01
4.150151493416662873e+01 9.815613477125403330e-01 9.712210006071380075e-01 9.999363560167970899e-01
4.117887091539515865e+01 9.602215418294346438e-01 7.653197517425412988e-01 9.999999999145967600e-01
4.093665871999623818e+01 9.498723961473600763e-01 7.325665248041843824e-01 9.999999999990222266e-01
4.202492931461712544e+01 9.862448102282500573e-01 9.885586187293596838e-01 7.469179241479132481e-01
4.116491380004553946e+01 9.628852188459312567e-01 9.786343244530123497e-01 9.999999998029154291e-01
4.064440552621514513e+01 9.171431609505201754e-01 6.952444806243899267e-01 0.000000000000000000e+00
4.090610682019356403e+01 9.555140656182792291e-01 9.723942065999898743e-01 4.620568601956175359e-01
4.169845912455282644e+01 9.805712519023600526e-01 9.759691373012244764e-01 9.999862054841168746e-01
3.978882553195581551e+01 8.475140915770061900e-01 3.842929091810327602e-01 9.999999986496383997e-01
4.081230213841437404e+01 9.548989654365972468e-01 9.338290773613973084e-01 2.658247063489920405e-173
4.053619303840938670e+01 9.400298976340132340e-01 7.384280572399697373e-01 9.999987429046208742e-01
4.056709742614906133e+01 9.126978292753958888e-01 9.397372220738465787e-01 9.999971641427899405e-01
4.078900927217024019e+01 9.341445670904808818e-01 2.287832139580111279e-01 9.999827502943084978e-01
4.170873645972560695e+01 9.824903039786522241e-01 9.954657690053267949e-01 9.999999997414176223e-01
4.140536388902313547e+01 9.664832052684800834e-01 8.971060944618464150e-01 9.999986069770682162e-01
4.056437573890445947e+01 9.427283393288198310e-01 3.222464633640944598e-01 9.999999921506190770e-01
4.042932498692199061e+01 9.113262034834670455e-01 6.247737687652935579e-01 1.540853980671709632e-11
4.179379741328895648e+01 9.827003076181373142e-01 9.929396213776153779e-01 0.000000000000000000e+00
4.077231834587075099e+01 9.340700812531257391e-01 6.678873494899237873e-01 9.999999991432333424e-01
4.062542478061816809e+01 9.300745750684729085e-01 9.646990944388995626e-01 9.999980295515140671e-01
4.108738989644069761e+01 9.444557311263608312e-01 9.964420210479923989e-01 9.999997647161020797e-01
