Temp TCP TCP_5 TCP_50
3.957894736842105488e+01 8.269188655640552499e-01 7.300432403114013313e-01 6.301708436508807187e-01
3.973684210526315752e+01 8.437214594512093546e-01 7.451102148488282229e-01 6.320966654007413865e-01
3.989473684210526017e+01 8.610322672550124734e-01 7.630947926305874374e-01 6.347053087660690096e-01
4.005263157894736992e+01 8.784468925398918326e-01 7.859021136091645099e-01 6.381645551558903229e-01
4.021052631578947256e+01 8.946026353811524778e-01 8.042905194405586267e-01 6.460299702828884438e-01
4.036842105263157521e+01 9.091309842245424155e-01 8.243862074689390917e-01 6.506334645016421669e-01
4.052631578947368496e+01 9.220327528932432681e-01 8.427931505818029301e-01 6.578360064031503196e-01
4.068421052631579471e+01 9.336248098088369973e-01 8.617307142733429126e-01 6.617264427905866775e-01
4.084210526315789025e+01 9.439630969918129111e-01 8.788703494686674889e-01 6.705140749484047591e-01
4.100000000000000000e+01 9.529651147557487434e-01 8.932671820664348505e-01 6.780571379369998430e-01
4.115789473684210975e+01 9.607018805800344730e-01 9.084585197395126377e-01 6.817221670705925218e-01
4.131578947368420529e+01 9.673345113463812650e-01 9.214217355143372590e-01 6.879504979353696648e-01
4.147368421052631504e+01 9.730362343974104933e-01 9.335862370533333232e-01 6.967652690161204587e-01
4.163157894736842479e+01 9.779632900894594805e-01 9.421457410428618617e-01 7.007658584136861046e-01
4.178947368421052033e+01 9.821327041170525574e-01 9.525175220940693688e-01 7.068605381311451330e-01
4.194736842105263008e+01 9.855163549290247849e-01 9.602436277536048337e-01 7.149341108322295746e-01
4.210526315789473983e+01 9.884198234197267841e-01 9.666295498844688083e-01 7.230210653689180811e-01
4.226315789473684248e+01 9.909283087023437187e-01 9.736855397441553928e-01 7.307866675008262147e-01
4.242105263157894512e+01 9.931222816765341577e-01 9.800877205071329978e-01 7.371969005874531300e-01
