cem N_HT TCP_10 TCP_kill_10 TCP_60 TCP_kill_60 TCP_120 TCP_kill_120 TCP_240 TCP_kill_240
0.000000000000000000e+00 3.000000000000000000e+00 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01 5.533459312634031457e-01
5.000000000000000278e-02 3.000000000000000000e+00 5.853695567809863443e-01 5.966849945306010872e-01 5.742386704742633574e-01 5.857474274549405724e-01 5.659116604289533559e-01 5.775594906013389318e-01 5.579288721839900100e-01 5.697054813497393067e-01
1.500000000000000222e-01 3.000000000000000000e+00 6.161319577687366378e-01 6.308439124823824740e-01 5.940993799655922558e-01 6.093807652322646984e-01 5.777330395872345425e-01 5.934109137648451160e-01 5.621881846212668510e-01 5.782209183202154934e-01
2.500000000000000000e-01 3.000000000000000000e+00 6.410020813741159618e-01 6.590603873797052925e-01 6.101292399860014370e-01 6.292701956075538172e-01 5.872282174062236626e-01 6.071104288948445671e-01 5.655831532050898947e-01 5.861150203946545734e-01
3.500000000000000333e-01 3.000000000000000000e+00 6.572641212382250853e-01 6.778825335084412984e-01 6.206365832585490905e-01 6.428332772332639999e-01 5.934394264354181381e-01 6.167085264404659206e-01 5.677923323904532360e-01 5.919901908440857730e-01
4.500000000000000111e-01 3.000000000000000000e+00 6.691942442279728009e-01 6.919018929861003864e-01 6.283725120718878232e-01 6.531288082418296170e-01 5.980099098028629490e-01 6.241530604261650295e-01 5.694127405585200918e-01 5.967478458226407323e-01
5.500000000000000444e-01 3.000000000000000000e+00 6.783844020212939085e-01 7.028725595645022306e-01 6.343420988354515622e-01 6.613204290711034439e-01 6.015312859483766816e-01 6.301920359349011402e-01 5.706562797476251170e-01 6.007552453607463150e-01
6.500000000000001332e-01 3.000000000000000000e+00 6.862666389193131655e-01 7.123285082675583357e-01 6.394977278423459310e-01 6.684845498283188414e-01 6.045818559446823892e-01 6.355437849917358051e-01 5.717349080794155158e-01 6.043787847538697466e-01
7.500000000000000000e-01 3.000000000000000000e+00 6.933259634155832796e-01 7.208135557348741562e-01 6.441427113349419420e-01 6.749857406916304203e-01 6.073380458702274387e-01 6.404473771834120477e-01 5.727108802085215666e-01 6.077446471803189532e-01
8.500000000000000888e-01 3.000000000000000000e+00 6.985134991411130478e-01 7.272562294164577334e-01 6.475341233167039023e-01 6.800101696237982329e-01 6.093339389388839900e-01 6.443317035294610085e-01 5.734098137758334435e-01 6.105438294646705621e-01
9.499999999999999556e-01 3.000000000000000000e+00 7.036045948125155824e-01 7.335226375060606152e-01 6.508935206054774492e-01 6.849336038541619098e-01 6.113229196332093940e-01 6.481492794780626676e-01 5.741100020232646761e-01 6.132924687196595892e-01
1.500000000000000000e+00 3.000000000000000000e+00 7.224545562181031721e-01 7.571114874793319904e-01 6.634706053608673271e-01 7.040661189088969207e-01 6.187969368188078745e-01 6.634334316331870207e-01 5.767406218994159950e-01 6.247791431185419908e-01
2.500000000000000000e+00 3.000000000000000000e+00 7.457185537502337702e-01 7.870499966748870646e-01 6.792101424211459682e-01 7.295147907878972715e-01 6.281804775065646940e-01 6.846680031615388629e-01 5.800338432179751313e-01 6.417200192825572858e-01
