D TCP TCP_het_alpha TCP_het_vol TCP_het_both
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.402751306206159813e-311
1.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.355061152712734358e-70
1.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.404938304709031754e-18
1.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.139727155955155623e-07
2.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.369519134414344385e-05
2.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.311315461199758720e-269 7.364350157849600825e-05
2.400000000000000000e+01 0.000000000000000000e+00 1.132458037994614999e-109 5.203739216987251503e-117 9.666577349224033408e-05
2.600000000000000000e+01 0.000000000000000000e+00 2.508029613087552888e-24 2.528785573717926089e-52 2.217320178930718008e-04
2.800000000000000000e+01 0.000000000000000000e+00 2.116109743586629061e-07 6.661621062785007596e-25 7.484525946379291025e-04
3.000000000000000000e+01 0.000000000000000000e+00 1.136049748854554191e-03 2.800331170096175976e-13 3.098357263323755963e-03
3.200000000000000000e+01 0.000000000000000000e+00 1.414882157499340945e-02 2.368478612521071771e-08 1.617619972366355838e-02
3.400000000000000000e+01 0.000000000000000000e+00 4.082558136722565234e-02 2.906283893998155843e-06 4.248984018860887946e-02
3.600000000000000000e+01 0.000000000000000000e+00 7.533271200292977754e-02 2.317418983058148953e-05 7.707249195810506048e-02
3.800000000000000000e+01 0.000000000000000000e+00 1.170381183682202286e-01 6.702350457215845410e-05 1.186187244802347357e-01
4.000000000000000000e+01 0.000000000000000000e+00 1.625940072386664048e-01 1.323786155638719008e-04 1.635706351046364859e-01
