N_HT schedule TCP_10 TCP_kill_10 TCP_120 TCP_kill_120
3.000000000000000000e+00 0.000000000000000000e+00 8.225592018173586428e-01 8.785000968186089665e-01 6.632654761816317857e-01 7.616391836085485423e-01
4.000000000000000000e+00 0.000000000000000000e+00 8.837714463268085963e-01 9.341690777630595743e-01 7.018944958803586820e-01 8.227603221548926982e-01
5.000000000000000000e+00 0.000000000000000000e+00 9.248215957553901356e-01 9.648346624552580630e-01 7.369987596993659018e-01 8.695475471709556148e-01
6.000000000000000000e+00 0.000000000000000000e+00 9.517663684493367082e-01 9.813569514664012283e-01 7.686691934532865478e-01 9.046980712908485600e-01
3.000000000000000000e+00 1.000000000000000000e+00 8.609088074106922006e-01 9.176212089356363677e-01 6.844086066171982674e-01 8.043889728424905572e-01
4.000000000000000000e+00 1.000000000000000000e+00 9.096155870736822857e-01 9.558119324380289772e-01 7.211422949436849805e-01 8.555914808600201260e-01
5.000000000000000000e+00 1.000000000000000000e+00 9.418376206185097299e-01 9.765217956522576070e-01 7.543901395524870157e-01 8.942704944237072073e-01
6.000000000000000000e+00 1.000000000000000000e+00 9.628061140609095458e-01 9.875881556457747346e-01 7.842818694108100175e-01 9.230547478717097132e-01
3.000000000000000000e+00 2.000000000000000000e+00 8.362335733591708120e-01 9.303334682604995631e-01 6.663280475967711114e-01 8.488120131657755918e-01
4.000000000000000000e+00 2.000000000000000000e+00 8.628208826504349949e-01 9.444054420801790695e-01 6.845702653387933934e-01 8.633697447066629449e-01
5.000000000000000000e+00 2.000000000000000000e+00 8.853904761301401027e-01 9.557028534855875890e-01 7.020492537403434374e-01 8.766292539305211573e-01
6.000000000000000000e+00 2.000000000000000000e+00 9.044540446377754561e-01 9.647474436996144043e-01 7.187678859703986456e-01 8.886861346448541310e-01
3.000000000000000000e+00 3.000000000000000000e+00 9.002016251197622054e-01 9.686945941789326664e-01 7.073079442686514007e-01 9.005411885574275965e-01
4.000000000000000000e+00 3.000000000000000000e+00 9.356602098288263614e-01 9.834188826576338860e-01 7.418966608226275072e-01 9.276877219634045435e-01
5.000000000000000000e+00 3.000000000000000000e+00 9.588068428097998863e-01 9.912488710879049369e-01 7.730712499191834119e-01 9.476400146449701634e-01
6.000000000000000000e+00 3.000000000000000000e+00 9.737427409479771923e-01 9.953900074523555075e-01 8.009972057077887619e-01 9.621991873834218056e-01
