diff mu TCP_0 TCP_1 TCP_2 TCP_3 TCP_4 TCP_5
1.000000000000000000e+00 2.699999999999999969e-02 7.908856410102519874e+01 6.962645773380840453e+00 2.750725193848483574e+00 1.166639491823059649e-01 1.085708986000568366e-01 4.321101038445947395e+00
2.000000000000000000e+00 2.699999999999999969e-02 6.208551754265069178e+01 4.870627732282061473e+00 2.083101717376224293e+00 9.263407985253267751e-02 8.690798376344191500e-02 4.321101038445947395e+00
3.000000000000000000e+00 2.699999999999999969e-02 4.029651734986595102e+01 3.210872723004741580e+00 1.479362163016451293e+00 6.897600341247842048e-02 6.521887417622998506e-02 4.321101038444790987e+00
4.000000000000000000e+00 2.699999999999999969e-02 1.957506999952470039e+01 1.891728316349364558e+00 9.342271363805925155e-01 4.566489118418404908e-02 4.350413326907881517e-02 4.321101017562662960e+00
5.000000000000000000e+00 2.699999999999999969e-02 6.206416400165756464e+00 8.404913553329805831e-01 4.426815428871971325e-01 2.267918190492098848e-02 2.176432223685982256e-02 4.320723691573210345e+00
6.000000000000000000e+00 2.699999999999999969e-02 3.056923849862926534e+00 4.817580009916427319e-01 2.599997423061081725e-01 1.357170367263113575e-02 1.306150346441691500e-02 4.302094546550864429e+00
7.000000000000000000e+00 2.699999999999999969e-02 8.373518080580932832e-01 1.535419276694610646e-01 8.484385610085756757e-02 4.512142111234278968e-03 4.354798592951063252e-03 3.427827325847918161e+00
8.000000000000000000e+00 2.699999999999999969e-02 6.918746849154580048e-01 1.469324220737512066e-01 8.306714414547744507e-02 4.500552750396180635e-03 4.355756769287746910e-03 3.571376401351487928e+00
9.000000000000000000e+00 2.699999999999999969e-02 1.729553679561158352e+00 4.221791224792071362e-01 2.440063561796202429e-01 1.346738156359930487e-02 1.307012707399683032e-02 3.807178979890999404e+00
1.000000000000000000e+01 2.699999999999999969e-02 2.426669985073757640e+00 6.744751208185361113e-01 3.982389348130472850e-01 2.238929891843173536e-02 2.178827683319143824e-02 3.807178979890999404e+00
1.100000000000000000e+01 2.699999999999999969e-02 3.314342225743630799e+00 1.217864897314881345e+00 7.561475101905914542e-01 4.450348785096788773e-02 4.359995400322124598e-02 3.807178979890999404e+00
1.200000000000000000e+01 2.699999999999999969e-02 3.631933748617895308e+00 1.657444772273984901e+00 1.077530547586074139e+00 6.635575662397141805e-02 6.543447963514420485e-02 3.807178979890999404e+00
1.300000000000000000e+01 2.699999999999999969e-02 3.744862824041380378e+00 2.014537389804067935e+00 1.365892543981485963e+00 8.795794523350110306e-02 8.729130427333930964e-02 3.807178979890999404e+00
1.400000000000000000e+01 2.699999999999999969e-02 3.784989543732081962e+00 2.305846227535753634e+00 1.624448689205754581e+00 1.093207346026141419e-01 1.091698809153384131e-01 3.807178979890999404e+00
1.000000000000000000e+00 5.000000000000000000e-01 9.943689772282299089e+01 5.322176317268180412e+00 8.405604005186408045e+00 2.407623858620211721e-01 1.613842178465692667e+00 1.569363076921947631e+01
2.000000000000000000e+00 5.000000000000000000e-01 9.592645730769665136e+01 3.999107756291804705e+00 6.397079360074350518e+00 1.888939171357249536e-01 1.266549338250936296e+00 1.569363076921947631e+01
3.000000000000000000e+00 5.000000000000000000e-01 8.197444213333916707e+01 2.824354620805779703e+00 4.562045171322156811e+00 1.390667607375886683e-01 9.317208333309308088e-01 1.569363076921526989e+01
4.000000000000000000e+00 5.000000000000000000e-01 5.171567428242038744e+01 1.777313023198388464e+00 2.891025288255424819e+00 9.108364210718117304e-02 6.091832935726929632e-01 1.569363069316078096e+01
5.000000000000000000e+00 5.000000000000000000e-01 1.897600871259308519e+01 8.407100647386429593e-01 1.373851237508339596e+00 4.477631611949101781e-02 2.987031258141722434e-01 1.569225643698000638e+01
6.000000000000000000e+00 5.000000000000000000e-01 9.581313298738699302e+00 4.936535149211370155e-01 8.077065345834725241e-01 2.668949208242419810e-02 1.778256279901589409e-01 1.562440035723121845e+01
7.000000000000000000e+00 5.000000000000000000e-01 2.656753341967275972e+00 1.610900335289402185e-01 2.638140859458992238e-01 8.839058139309092371e-03 5.881318819584715335e-02 1.242772369584567294e+01
8.000000000000000000e+00 5.000000000000000000e-01 2.204041914630270327e+00 1.577523385597280337e-01 2.585057012618421357e-01 8.782892057131648847e-03 5.835465292690691225e-02 1.121947850724838247e+01
9.000000000000000000e+00 5.000000000000000000e-01 5.505445225969621603e+00 4.635965860488114321e-01 7.599296518495260999e-01 2.618384615903348103e-02 1.736990567837507493e-01 1.175805930669543642e+01
1.000000000000000000e+01 5.000000000000000000e-01 7.699586649642924385e+00 7.571202801257544968e-01 1.241129870905294030e+00 4.337090302647482465e-02 2.872417986093199205e-01 1.175805930669543642e+01
1.100000000000000000e+01 5.000000000000000000e-01 1.040613486136425969e+01 1.441101488819631404e+00 2.359999801825793497e+00 8.544613540897681714e-02 5.633638779740754998e-01 1.175805930669543642e+01
1.200000000000000000e+01 5.000000000000000000e-01 1.131245106776492193e+01 2.060857523134646208e+00 3.366764497395255518e+00 1.263222141291923950e-01 8.287258558058507862e-01 1.175805930669543642e+01
1.300000000000000000e+01 5.000000000000000000e-01 1.161150718916017865e+01 2.624021741095117655e+00 4.271150139024777026e+00 1.660845289273314151e-01 1.083698855408920414e+00 1.175805930669543642e+01
1.400000000000000000e+01 5.000000000000000000e-01 1.170983841960749139e+01 3.137155971188311465e+00 5.082370444375694518e+00 2.048090345204733043e-01 1.328660177333843118e+00 1.175805930669543642e+01
