t_int T survival survival_high
-4.000000000000000000e+00 3.900000000000000000e+01 3.376290317610325942e-01 3.973013692804150954e-01
-4.000000000000000000e+00 4.100000000000000000e+01 2.261737276518057393e-01 3.352357267632922744e-01
-4.000000000000000000e+00 4.300000000000000000e+01 8.489181872563862641e-02 1.719765306086253609e-01
-3.555555555555555358e+00 3.900000000000000000e+01 3.367328318937431453e-01 3.948382986019265406e-01
-3.555555555555555358e+00 4.100000000000000000e+01 2.245624216979942300e-01 3.308300372536343570e-01
-3.555555555555555358e+00 4.300000000000000000e+01 8.370506867939887796e-02 1.683932316455893641e-01
-3.111111111111111160e+00 3.900000000000000000e+01 3.358247893943999696e-01 3.917358949797991041e-01
-3.111111111111111160e+00 4.100000000000000000e+01 2.229323658497339988e-01 3.252466766691253786e-01
-3.111111111111111160e+00 4.300000000000000000e+01 8.250956470947094779e-02 1.638339381395619854e-01
-2.666666666666666963e+00 3.900000000000000000e+01 3.349047514268242431e-01 3.878214113809672625e-01
-2.666666666666666963e+00 4.100000000000000000e+01 2.212834552214874295e-01 3.181549891189705548e-01
-2.666666666666666963e+00 4.300000000000000000e+01 8.130549575978597565e-02 1.580228920498148448e-01
-2.222222222222222321e+00 3.900000000000000000e+01 3.339725636288139454e-01 3.828725490424448874e-01
-2.222222222222222321e+00 4.100000000000000000e+01 2.196155902947505845e-01 3.091286164157429073e-01
-2.222222222222222321e+00 4.300000000000000000e+01 8.009306432922326524e-02 1.506111363806283410e-01
-1.777777777777777679e+00 3.900000000000000000e+01 3.330280701222664841e-01 3.766024847400376019e-01
-1.777777777777777679e+00 4.100000000000000000e+01 2.179286772617012036e-01 2.976215502312490324e-01
-1.777777777777777679e+00 4.300000000000000000e+01 7.887248691742120010e-02 1.411691544267801579e-01
-1.333333333333333481e+00 3.900000000000000000e+01 3.320711135248849977e-01 3.686406887788980513e-01
-1.333333333333333481e+00 4.100000000000000000e+01 2.162226283824486006e-01 2.829453254747009150e-01
-1.333333333333333481e+00 4.300000000000000000e+01 7.764399447234654472e-02 1.291966336113523905e-01
-8.888888888888892836e-01 3.900000000000000000e+01 3.311015349635468841e-01 3.585091822079959911e-01
-8.888888888888892836e-01 4.100000000000000000e+01 2.144973623562369536e-01 2.642585494120432421e-01
-8.888888888888892836e-01 4.300000000000000000e+01 7.640783283844529428e-02 1.141757793361347223e-01
-4.444444444444446418e-01 3.900000000000000000e+01 3.301191740894228732e-01 3.455951277455137083e-01
-4.444444444444446418e-01 4.100000000000000000e+01 2.127528047069499884e-01 2.405952265444215310e-01
-4.444444444444446418e-01 4.300000000000000000e+01 7.516426320407457173e-02 9.572082409737300845e-02
0.000000000000000000e+00 3.900000000000000000e+01 3.291238690949335188e-01 3.291238690949335188e-01
0.000000000000000000e+00 4.100000000000000000e+01 2.109888881832604202e-01 2.109888881832604202e-01
0.000000000000000000e+00 4.300000000000000000e+01 7.391356254678467519e-02 7.391356254678467519e-02
4.444444444444446418e-01 3.900000000000000000e+01 3.301191740894228732e-01 3.455951277455137083e-01
4.444444444444446418e-01 4.100000000000000000e+01 2.127528047069499884e-01 2.405952265444215310e-01
4.444444444444446418e-01 4.300000000000000000e+01 7.516426320407457173e-02 9.572082409737300845e-02
8.888888888888883955e-01 3.900000000000000000e+01 3.311015349635468841e-01 3.585091822079959911e-01
8.888888888888883955e-01 4.100000000000000000e+01 2.144973623562369536e-01 2.642585494120432421e-01
8.888888888888883955e-01 4.300000000000000000e+01 7.640783283844529428e-02 1.141757793361347223e-01
1.333333333333333037e+00 3.900000000000000000e+01 3.320711135248849977e-01 3.686406887788980513e-01
1.333333333333333037e+00 4.100000000000000000e+01 2.162226283824486006e-01 2.829453254747009150e-01
1.333333333333333037e+00 4.300000000000000000e+01 7.764399447234654472e-02 1.291966336113523628e-01
1.777777777777777679e+00 3.900000000000000000e+01 3.330280701222664841e-01 3.766024847400376019e-01
1.777777777777777679e+00 4.100000000000000000e+01 2.179286772617012036e-01 2.976215502312490324e-01
1.777777777777777679e+00 4.300000000000000000e+01 7.887248691742120010e-02 1.411691544267801579e-01
2.222222222222221433e+00 3.900000000000000000e+01 3.339725636288139454e-01 3.828725490424448874e-01
2.222222222222221433e+00 4.100000000000000000e+01 2.196155902947505845e-01 3.091286164157429073e-01
2.222222222222221433e+00 4.300000000000000000e+01 8.009306432922326524e-02 1.506111363806282855e-01
2.666666666666666075e+00 3.900000000000000000e+01 3.349047514268242431e-01 3.878214113809672625e-01
2.666666666666666075e+00 4.100000000000000000e+01 2.212834552214874295e-01 3.181549891189705548e-01
2.666666666666666075e+00 4.300000000000000000e+01 8.130549575978597565e-02 1.580228920498148171e-01
3.111111111111110716e+00 3.900000000000000000e+01 3.358247893943999696e-01 3.917358949797991041e-01
3.111111111111110716e+00 4.100000000000000000e+01 2.229323658497339988e-01 3.252466766691253786e-01
3.111111111111110716e+00 4.300000000000000000e+01 8.250956470947094779e-02 1.638339381395619854e-01
3.555555555555555358e+00 3.900000000000000000e+01 3.367328318937431453e-01 3.948382986019265406e-01
3.555555555555555358e+00 4.100000000000000000e+01 2.245624216979942300e-01 3.308300372536343570e-01
3.555555555555555358e+00 4.300000000000000000e+01 8.370506867939887796e-02 1.683932316455893641e-01
4.000000000000000000e+00 3.900000000000000000e+01 3.376290317610325942e-01 3.973013692804150954e-01
4.000000000000000000e+00 4.100000000000000000e+01 2.261737276518057393e-01 3.352357267632922744e-01
4.000000000000000000e+00 4.300000000000000000e+01 8.489181872563862641e-02 1.719765306086253609e-01
